;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202301;Enero de 2023;1;Andalucía;11;Cádiz;11042;Zahara;16;<5;8;0;0;6;0;8;0;<5;6
202301;Enero de 2023;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;96;42;19;<5;7;23;<5;<5;<5;41;53
202301;Enero de 2023;1;Andalucía;11;Cádiz;11902;San José del Valle;98;46;17;<5;13;21;0;38;13;15;32
202301;Enero de 2023;1;Andalucía;11;Cádiz;11903;San Martín del Tesorillo;23;9;<5;0;9;<5;0;15;0;<5;7
202301;Enero de 2023;1;Andalucía;14;Córdoba;14001;Adamuz;818;278;243;0;131;164;<5;722;5;<5;89
202301;Enero de 2023;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;935;420;156;<5;235;110;10;758;12;64;101
202301;Enero de 2023;1;Andalucía;14;Córdoba;14003;Alcaracejos;41;<5;17;0;<5;17;0;6;0;<5;33
202301;Enero de 2023;1;Andalucía;14;Córdoba;14004;Almedinilla;267;129;31;0;72;35;0;223;8;6;30
202301;Enero de 2023;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;185;25;69;<5;18;71;0;66;<5;20;98
202301;Enero de 2023;1;Andalucía;14;Córdoba;14006;Añora;28;8;9;<5;<5;9;0;8;<5;7;11
202301;Enero de 2023;1;Andalucía;14;Córdoba;14007;Baena;1341;498;377;14;236;205;11;1132;33;36;140
202301;Enero de 2023;1;Andalucía;14;Córdoba;14008;Belalcázar;87;7;41;0;0;39;0;26;<5;18;41
202301;Enero de 2023;1;Andalucía;14;Córdoba;14009;Belmez;34;11;12;<5;<5;7;0;7;<5;17;7
202301;Enero de 2023;1;Andalucía;14;Córdoba;14010;Benamejí;464;205;89;<5;108;59;<5;427;11;5;21
202301;Enero de 2023;1;Andalucía;14;Córdoba;14011;Blázquez, Los;46;<5;21;<5;0;20;0;<5;<5;12;29
202301;Enero de 2023;1;Andalucía;14;Córdoba;14012;Bujalance;1413;376;532;<5;198;306;0;1384;<5;<5;23
202301;Enero de 2023;1;Andalucía;14;Córdoba;14013;Cabra;1332;579;268;8;314;160;<5;1111;32;21;168
202301;Enero de 2023;1;Andalucía;14;Córdoba;14014;Cañete de las Torres;1218;106;741;5;28;338;0;1176;<5;21;20
202301;Enero de 2023;1;Andalucía;14;Córdoba;14015;Carcabuey;329;220;24;0;61;24;0;292;7;5;25
202301;Enero de 2023;1;Andalucía;14;Córdoba;14016;Cardeña;59;20;23;0;0;15;<5;43;0;0;16
202301;Enero de 2023;1;Andalucía;14;Córdoba;14017;Carlota, La;356;89;113;8;41;96;9;159;34;83;80
202301;Enero de 2023;1;Andalucía;14;Córdoba;14018;Carpio, El;164;29;58;<5;19;54;<5;55;41;<5;64
202301;Enero de 2023;1;Andalucía;14;Córdoba;14019;Castro del Río;1037;371;384;<5;140;140;0;986;6;13;32
202301;Enero de 2023;1;Andalucía;14;Córdoba;14020;Conquista;<5;0;0;0;0;<5;0;0;0;0;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14021;Córdoba;8817;1815;3004;202;1002;2603;191;1900;776;691;5450
202301;Enero de 2023;1;Andalucía;14;Córdoba;14022;Doña Mencía;556;301;20;0;215;20;0;533;0;10;13
202301;Enero de 2023;1;Andalucía;14;Córdoba;14023;Dos Torres;69;5;24;0;<5;38;<5;6;5;27;31
202301;Enero de 2023;1;Andalucía;14;Córdoba;14024;Encinas Reales;199;40;70;0;29;60;0;183;7;<5;8
202301;Enero de 2023;1;Andalucía;14;Córdoba;14025;Espejo;628;115;261;0;75;177;0;605;<5;<5;18
202301;Enero de 2023;1;Andalucía;14;Córdoba;14026;Espiel;88;15;35;<5;7;25;<5;14;38;9;27
202301;Enero de 2023;1;Andalucía;14;Córdoba;14027;Fernán-Núñez;219;35;109;<5;16;54;<5;158;9;27;25
202301;Enero de 2023;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;<5;0;0;0;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;64;24;21;0;6;13;0;34;0;13;17
202301;Enero de 2023;1;Andalucía;14;Córdoba;14030;Fuente Palmera;676;285;109;0;180;100;<5;554;18;29;75
202301;Enero de 2023;1;Andalucía;14;Córdoba;14031;Fuente-Tójar;87;44;7;0;26;10;0;76;<5;0;10
202301;Enero de 2023;1;Andalucía;14;Córdoba;14032;Granjuela, La;15;0;7;0;0;8;0;5;0;10;0
202301;Enero de 2023;1;Andalucía;14;Córdoba;14033;Guadalcázar;67;7;49;0;<5;7;0;46;11;<5;7
202301;Enero de 2023;1;Andalucía;14;Córdoba;14034;Guijo, El;14;0;8;0;0;6;0;<5;0;<5;12
202301;Enero de 2023;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;78;20;26;5;<5;19;<5;7;14;28;29
202301;Enero de 2023;1;Andalucía;14;Córdoba;14036;Hornachuelos;493;102;221;5;53;108;<5;319;54;58;62
202301;Enero de 2023;1;Andalucía;14;Córdoba;14037;Iznájar;768;440;117;0;170;41;0;737;<5;<5;25
202301;Enero de 2023;1;Andalucía;14;Córdoba;14038;Lucena;1934;732;536;30;336;280;20;1376;247;37;274
202301;Enero de 2023;1;Andalucía;14;Córdoba;14039;Luque;299;151;50;<5;72;24;0;272;8;5;14
202301;Enero de 2023;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;623;60;338;<5;69;143;10;587;<5;6;26
202301;Enero de 2023;1;Andalucía;14;Córdoba;14041;Montemayor;148;22;61;<5;11;47;<5;106;14;14;14
202301;Enero de 2023;1;Andalucía;14;Córdoba;14042;Montilla;870;158;331;18;97;259;7;511;62;65;232
202301;Enero de 2023;1;Andalucía;14;Córdoba;14043;Montoro;1115;363;294;<5;248;204;<5;983;11;25;96
